grau,n,acc,f1_macro,f1_weighted
0.0,16,0.8125,0.30952380952380953,0.8705357142857143
1.0,89,0.38202247191011235,0.3697516641065028,0.342631905970072
2.0,66,0.6363636363636364,0.47625084029578413,0.6135407663497552
3.0,36,0.4444444444444444,0.4138071895424836,0.43419798474945537
4.0,35,0.6285714285714286,0.4166666666666667,0.5642857142857143
5.0,31,0.3870967741935484,0.3878787878787879,0.3812316715542522
6.0,20,0.55,0.23655913978494625,0.4967741935483871
7.0,15,0.5333333333333333,0.48888888888888893,0.5777777777777777
8.0,12,0.5,0.375,0.4375
9.0,10,0.5,0.484126984126984,0.5785714285714285
10.0,8,0.375,0.1818181818181818,0.3409090909090909
11.0,6,0.3333333333333333,0.3,0.31666666666666665
12.0,2,1.0,1.0,1.0
13.0,1,0.0,0.0,0.0
14.0,1,0.0,0.0,0.0
15.0,1,0.0,0.0,0.0
