grau,n,acc,f1_macro,f1_weighted
0.0,16,0.75,0.2962962962962963,0.8333333333333333
1.0,89,0.4044943820224719,0.3941979866448788,0.37482379005907324
2.0,66,0.6060606060606061,0.4542483660130719,0.5945929887106357
3.0,36,0.3888888888888889,0.3703703703703704,0.3611111111111111
4.0,35,0.45714285714285713,0.3265503875968992,0.44609634551495014
5.0,31,0.22580645161290322,0.2294949494949495,0.21857282502443795
6.0,20,0.45,0.28086419753086417,0.4773148148148148
7.0,15,0.4,0.362962962962963,0.4444444444444445
8.0,12,0.4166666666666667,0.3111111111111111,0.3666666666666667
9.0,10,0.5,0.484126984126984,0.5785714285714285
10.0,8,0.25,0.13333333333333333,0.25
11.0,6,0.16666666666666666,0.13333333333333333,0.20000000000000004
12.0,2,0.5,0.3333333333333333,0.5
13.0,1,0.0,0.0,0.0
14.0,1,0.0,0.0,0.0
15.0,1,0.0,0.0,0.0
